ID;Активно;Раздел 1;Раздел 2;Артикул;Наименование;Описание;Ед. изм;Вес;Объем;Диаметр;Размер;Цвет;Цена;Старая цена;Изображение;Ссылка;оригинальные ссылки на гугле дениса;ID картинки;приставка для создания ссылки на изображение;пп кат;пп блюд;slug;vegan icon;hot icon;;;;;;;;;;;
1203;1;12. Запеченые роллы🍘;;;Запеченая Креветка;запечённый ролл с креветкой;шт.;300 гр.;8 шт.;;;;1050;;https://static.tildacdn.com/tild6633-6365-4863-b162-663230383363/1203_Zapeene_Shrimp.jpg;;https://drive.google.com/file/d/1iPOVYFAD6x1B4mAJr44PMuila-tPD6Nt/view?usp=drive_link;1iPOVYFAD6x1B4mAJr44PMuila-tPD6Nt;;12;3;backed;0;0;;;;;;;;;;; 
1204;1;12. Запеченые роллы🍘;;;Запеченый Тунец;запечённый ролл с тунцом;шт.;300 гр.;8 шт.;;;;1050;;https://static.tildacdn.com/tild3566-6265-4332-a566-353861313764/1204_Zapeene_Tuna.jpg;;https://drive.google.com/file/d/1k4Wz0x0W_MyMoGkvYCtCXKXgO3Ry0tWr/view?usp=drive_link;1k4Wz0x0W_MyMoGkvYCtCXKXgO3Ry0tWr;;12;4;backed;0;0;;;;;;;;;;;
1205;1;12. Запеченые роллы🍘;;;Запеченая Курица;запечённый ролл с копчённой курицей;шт.;300 гр.;8 шт.;;;;900;;https://static.tildacdn.com/tild6361-6362-4339-a366-386263363236/1205_Zapeene_Piletin.jpg;;https://drive.google.com/file/d/1xqLvy09ndwBr0iUm-husgcs11S7uTTyV/view?usp=drive_link;1xqLvy09ndwBr0iUm-husgcs11S7uTTyV;;12;5;backed;0;0;;;;;;;;;;;
1301;1;13. Горячие роллы (темпура)🔥;;;Темпура лосось;;шт.;250 гр.;8 шт.;;;;950;;https://static.tildacdn.com/tild6231-6466-4237-b364-356639393038/1301_Tempura_syake.jpg;;https://drive.google.com/file/d/1kzEUadeRQ5HDaoohzDzy1tzYIpPZEFSj/view?usp=drive_link;1kzEUadeRQ5HDaoohzDzy1tzYIpPZEFSj;;13;1;tempura;0;0;;;;;;;;;;;
1302;1;13. Горячие роллы (темпура)🔥;;;Темпура креветка;"
";шт.;250 гр.;8 шт.;;;;950;;https://static.tildacdn.com/tild3835-6162-4435-a461-316234363732/1302_Tempura_ebi.jpg;;https://drive.google.com/file/d/1T4CCNfcWhiDE0Ab0QJ0GjhUUn3080q7M/view?usp=drive_link;1T4CCNfcWhiDE0Ab0QJ0GjhUUn3080q7M;;13;2;tempura;0;0;;;;;;;;;;;
1303;1;13. Горячие роллы (темпура)🔥;;;Темпура сурими;;шт.;250 гр.;8 шт.;;;;900;;https://static.tildacdn.com/tild6663-3537-4732-a235-633537613664/1303_Tempura_surimi.jpg;;https://drive.google.com/file/d/1kD0N07i425bya2P7BCehAvF2CqfEuujQ/view?usp=drive_link;1kD0N07i425bya2P7BCehAvF2CqfEuujQ;;13;3;tempura;0;0;;;;;;;;;;;
1304;1;13. Горячие роллы (темпура)🔥;;;Хот ролл с лососем;;шт.;300 гр.;8 шт.;;;;1050;;https://static.tildacdn.com/tild6262-3866-4634-a164-326331323465/1304_Hot_roll_syake.jpg;;https://drive.google.com/file/d/11xDbi6U2ee0l4GboxPaAjdR_rb4U16uY/view?usp=drive_link;11xDbi6U2ee0l4GboxPaAjdR_rb4U16uY;;13;4;tempura;0;0;;;;;;;;;;;
1305;1;13. Горячие роллы (темпура)🔥;;;Хот ролл с креветкой;;шт.;300 гр.;8 шт.;;;;1050;;https://static.tildacdn.com/tild6136-6137-4734-a162-373466336463/1305_Hot_roll_ebi.jpg;;https://drive.google.com/file/d/1HROx26jER2x5wZxZs6z7crE1ypYgc63l/view?usp=drive_link;1HROx26jER2x5wZxZs6z7crE1ypYgc63l;;13;5;tempura;0;0;;;;;;;;;;;
1306;1;13. Горячие роллы (темпура)🔥;;;Камчатский ролл;горячий ролл с лососем, крабовыми сурими, сыр ,огурец;шт.;350 гр.;8 шт.;;;;1100;;https://static.tildacdn.com/tild6163-3564-4239-a163-626638303632/1306_Kamchatka.jpg;;https://drive.google.com/file/d/1RIrV8y5Noi0OqdkMJ4h7wTQvp-ldBpqH/view?usp=drive_link;1RIrV8y5Noi0OqdkMJ4h7wTQvp-ldBpqH;;13;6;tempura;0;0;;;;;;;;;;;
1307;1;13. Горячие роллы (темпура)🔥;;;Темпура тунец;;шт.;250 гр.;8 шт.;;;;950;;https://static.tildacdn.com/tild6539-3366-4362-a337-333236666564/1307_Tempura_tuna.jpg;;https://drive.google.com/file/d/1DWwWkx3cky5W4rvvZ4zxa_bsSRPKkrDY/view?usp=drive_link;1DWwWkx3cky5W4rvvZ4zxa_bsSRPKkrDY;;13;7;tempura;0;0;;;;;;;;;;;
1401;1;14. Сандочи🍙;;;Сандочи с Лососем 🍣;сыр, салат, лосось;шт.;160 гр.;4 шт.;;;;700;;https://static.tildacdn.com/tild6365-6339-4239-b537-643830353432/1401_Sandoi_syake.jpg;;https://drive.google.com/file/d/1xxtyFEqj_TCKKAxjMlW_iQaHjS0kHaMB/view?usp=drive_link;1xxtyFEqj_TCKKAxjMlW_iQaHjS0kHaMB;;14;1;sandochi;0;0;;;;;;;;;;;
1402;1;14. Сандочи🍙;;;Сандочи с Креветкой 🍣;сыр, креветка, салат;шт.;160 гр.;4 шт.;;;;700;;https://static.tildacdn.com/tild3063-3432-4832-a332-366236373165/1402_Sandoi_ebi.jpg;;https://drive.google.com/file/d/1G4CdEbvjCRlEGnodQv4UFhD3kAcHyX_M/view?usp=drive_link;1G4CdEbvjCRlEGnodQv4UFhD3kAcHyX_M;;14;2;sandochi;0;0;;;;;;;;;;;
1403;1;14. Сандочи🍙;;;Сандочи с Сурими 🎏;сыр, салат, сурими;шт.;160 гр.;4 шт.;;;;650;;https://static.tildacdn.com/tild3838-6530-4566-a665-333331356639/1403_Sandoi_surimi.jpg;;https://drive.google.com/file/d/1698HYfGIx9APe40RLREAFn78v4jQanhd/view?usp=drive_link;1698HYfGIx9APe40RLREAFn78v4jQanhd;;14;3;sandochi;0;0;;;;;;;;;;;
1404;1;14. Сандочи🍙;;;Сандочи с Угрём 🐉;сыр, салат , угорь;шт.;160 гр.;4 шт.;;;;700;;https://static.tildacdn.com/tild3761-3237-4637-b365-643665316138/1404_Sandoi_unagi.jpg;;https://drive.google.com/file/d/1_4rmtS5-b9u2wIWyMB1TZVKaEHtBLDvR/view?usp=drive_link;1_4rmtS5-b9u2wIWyMB1TZVKaEHtBLDvR;;14;4;sandochi;0;0;;;;;;;;;;;
1501;1;15. Хэнд роллы 🌯;;;Хэнд ролл Лосось;сыр, лосось соус спайс;шт.;250 гр.;2 шт.;;;;950;;https://static.tildacdn.com/tild6134-6163-4732-a537-356163336535/1501_Hand_roll_losos.jpg;;https://drive.google.com/file/d/1tyZonTYHLXQt419qT_3pFSpossCfplvs/view?usp=drive_link;1tyZonTYHLXQt419qT_3pFSpossCfplvs;;15;1;handrolls;0;0;;;;;;;;;;;
1502;1;15. Хэнд роллы 🌯;;;Хэнд ролл Креветка;сыр, креветка, соус спайс;шт.;250 гр.;2 шт.;;;;950;;https://static.tildacdn.com/tild6131-3465-4637-b632-646239623866/1502_Hand_roll_kampi.jpg;;https://drive.google.com/file/d/1WxDrS6ZYPix1hBASUet1IWxGMzrn00xR/view?usp=drive_link;1WxDrS6ZYPix1hBASUet1IWxGMzrn00xR;;15;2;handrolls;0;0;;;;;;;;;;;
1601;1;16. Маки 🐉🥒🦐🐟;;;Сяке маки;лосось;шт.;110 гр.;8 шт.;;;;650;;https://static.tildacdn.com/tild6166-3565-4236-a531-343862386565/1601_Syake_maki.jpg;;https://drive.google.com/file/d/1R6sDxSzjgoC1rj7ADsJZTGlcSt3jReYG/view?usp=drive_link;1R6sDxSzjgoC1rj7ADsJZTGlcSt3jReYG;;16;1;maki;0;0;;;;;;;;;;;
